"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","AGRWTH","A","1960",5.671711,
"AUS","GFCF","TOT","AGRWTH","A","1961",1.778081,
"AUS","GFCF","TOT","AGRWTH","A","1962",6.25203,
"AUS","GFCF","TOT","AGRWTH","A","1963",9.36615,
"AUS","GFCF","TOT","AGRWTH","A","1964",7.483513,
"AUS","GFCF","TOT","AGRWTH","A","1965",8.13242,
"AUS","GFCF","TOT","AGRWTH","A","1966",5.097216,
"AUS","GFCF","TOT","AGRWTH","A","1967",7.374136,
"AUS","GFCF","TOT","AGRWTH","A","1968",6.391864,
"AUS","GFCF","TOT","AGRWTH","A","1969",3.280286,
"AUS","GFCF","TOT","AGRWTH","A","1970",3.221345,
"AUS","GFCF","TOT","AGRWTH","A","1971",2.806477,
"AUS","GFCF","TOT","AGRWTH","A","1972",3.058763,
"AUS","GFCF","TOT","AGRWTH","A","1973",4.26817,
"AUS","GFCF","TOT","AGRWTH","A","1974",-6.410547,
"AUS","GFCF","TOT","AGRWTH","A","1975",3.435119,
"AUS","GFCF","TOT","AGRWTH","A","1976",3.890158,
"AUS","GFCF","TOT","AGRWTH","A","1977",3.834665,
"AUS","GFCF","TOT","AGRWTH","A","1978",9.775399,
"AUS","GFCF","TOT","AGRWTH","A","1979",2.872711,
"AUS","GFCF","TOT","AGRWTH","A","1980",12.788742,
"AUS","GFCF","TOT","AGRWTH","A","1981",7.251157,
"AUS","GFCF","TOT","AGRWTH","A","1982",-9.469887,
"AUS","GFCF","TOT","AGRWTH","A","1983",5.08058,
"AUS","GFCF","TOT","AGRWTH","A","1984",9.60973,
"AUS","GFCF","TOT","AGRWTH","A","1985",5.930679,
"AUS","GFCF","TOT","AGRWTH","A","1986",0.386336,
"AUS","GFCF","TOT","AGRWTH","A","1987",7.490594,
"AUS","GFCF","TOT","AGRWTH","A","1988",10.721596,
"AUS","GFCF","TOT","AGRWTH","A","1989",0.906255,
"AUS","GFCF","TOT","AGRWTH","A","1990",-9.480048,
"AUS","GFCF","TOT","AGRWTH","A","1991",-3.997047,
"AUS","GFCF","TOT","AGRWTH","A","1992",6.634895,
"AUS","GFCF","TOT","AGRWTH","A","1993",5.793182,
"AUS","GFCF","TOT","AGRWTH","A","1994",11.025554,
"AUS","GFCF","TOT","AGRWTH","A","1995",2.737465,
"AUS","GFCF","TOT","AGRWTH","A","1996",6.637565,
"AUS","GFCF","TOT","AGRWTH","A","1997",9.742976,
"AUS","GFCF","TOT","AGRWTH","A","1998",4.439226,
"AUS","GFCF","TOT","AGRWTH","A","1999",8.094573,
"AUS","GFCF","TOT","AGRWTH","A","2000",-7.94324,
"AUS","GFCF","TOT","AGRWTH","A","2001",9.124017,
"AUS","GFCF","TOT","AGRWTH","A","2002",12.567451,
"AUS","GFCF","TOT","AGRWTH","A","2003",8.735395,
"AUS","GFCF","TOT","AGRWTH","A","2004",6.094124,
"AUS","GFCF","TOT","AGRWTH","A","2005",8.273496,
"AUS","GFCF","TOT","AGRWTH","A","2006",4.51986,
"AUS","GFCF","TOT","AGRWTH","A","2007",8.76208,
"AUS","GFCF","TOT","AGRWTH","A","2008",1.523994,
"AUS","GFCF","TOT","AGRWTH","A","2009",1.747917,
"AUS","GFCF","TOT","AGRWTH","A","2010",3.599922,
"AUS","GFCF","TOT","AGRWTH","A","2011",11.602672,
"AUS","GFCF","TOT","AGRWTH","A","2012",2.891356,
"AUS","GFCF","TOT","AGRWTH","A","2013",-1.888894,
"AUS","GFCF","TOT","AGRWTH","A","2014",-3.69215,
"AUS","GFCF","TOT","AGRWTH","A","2015",-3.642824,
"AUS","GFCF","TOT","AGRWTH","A","2016",-0.039123,
"AUS","GFCF","TOT","AGRWTH","A","2017",4.840781,
"AUS","GFCF","TOT","AGRWTH","A","2018",-1.279559,
"AUS","GFCF","TOT","AGRWTH","A","2019",-2.472106,
"AUS","GFCF","TOT","AGRWTH","A","2020",2.750251,
"AUS","GFCF","TOT","MLN_USD","A","1960",7594.023,
"AUS","GFCF","TOT","MLN_USD","A","1961",7555.709,
"AUS","GFCF","TOT","MLN_USD","A","1962",8263.204,
"AUS","GFCF","TOT","MLN_USD","A","1963",9144.787,
"AUS","GFCF","TOT","MLN_USD","A","1964",10182.874,
"AUS","GFCF","TOT","MLN_USD","A","1965",11145.34,
"AUS","GFCF","TOT","MLN_USD","A","1966",12051.79,
"AUS","GFCF","TOT","MLN_USD","A","1967",13338.571,
"AUS","GFCF","TOT","MLN_USD","A","1968",14610.61,
"AUS","GFCF","TOT","MLN_USD","A","1969",16429.956,
"AUS","GFCF","TOT","MLN_USD","A","1970",18032.557,
"AUS","GFCF","TOT","MLN_USD","A","1971",19282.718,
"AUS","GFCF","TOT","MLN_USD","A","1972",20289.017,
"AUS","GFCF","TOT","MLN_USD","A","1973",22451.262,
"AUS","GFCF","TOT","MLN_USD","A","1974",22305.921,
"AUS","GFCF","TOT","MLN_USD","A","1975",25378.099,
"AUS","GFCF","TOT","MLN_USD","A","1976",26882.823,
"AUS","GFCF","TOT","MLN_USD","A","1977",29014.448,
"AUS","GFCF","TOT","MLN_USD","A","1978",32899.492,
"AUS","GFCF","TOT","MLN_USD","A","1979",36426.311,
"AUS","GFCF","TOT","MLN_USD","A","1980",44009.833,
"AUS","GFCF","TOT","MLN_USD","A","1981",51603.495,
"AUS","GFCF","TOT","MLN_USD","A","1982",48285.459,
"AUS","GFCF","TOT","MLN_USD","A","1983",51150.053,
"AUS","GFCF","TOT","MLN_USD","A","1984",57234.657,
"AUS","GFCF","TOT","MLN_USD","A","1985",64456.227,
"AUS","GFCF","TOT","MLN_USD","A","1986",67075.192,
"AUS","GFCF","TOT","MLN_USD","A","1987",72470.315,
"AUS","GFCF","TOT","MLN_USD","A","1988",81223.07,
"AUS","GFCF","TOT","MLN_USD","A","1989",82903.634,
"AUS","GFCF","TOT","MLN_USD","A","1990",74749.781,
"AUS","GFCF","TOT","MLN_USD","A","1991",71716.099,
"AUS","GFCF","TOT","MLN_USD","A","1992",78555.115,
"AUS","GFCF","TOT","MLN_USD","A","1993",85209.141,
"AUS","GFCF","TOT","MLN_USD","A","1994",95676.433,
"AUS","GFCF","TOT","MLN_USD","A","1995",97479.554,
"AUS","GFCF","TOT","MLN_USD","A","1996",102006.126,
"AUS","GFCF","TOT","MLN_USD","A","1997",113366.832,
"AUS","GFCF","TOT","MLN_USD","A","1998",121384.928,
"AUS","GFCF","TOT","MLN_USD","A","1999",132527.854,
"AUS","GFCF","TOT","MLN_USD","A","2000",125150.998,
"AUS","GFCF","TOT","MLN_USD","A","2001",138589.707,
"AUS","GFCF","TOT","MLN_USD","A","2002",156538.412,
"AUS","GFCF","TOT","MLN_USD","A","2003",170045.773,
"AUS","GFCF","TOT","MLN_USD","A","2004",183020.816,
"AUS","GFCF","TOT","MLN_USD","A","2005",200075.516,
"AUS","GFCF","TOT","MLN_USD","A","2006",212588.777,
"AUS","GFCF","TOT","MLN_USD","A","2007",233233.19,
"AUS","GFCF","TOT","MLN_USD","A","2008",235404.924,
"AUS","GFCF","TOT","MLN_USD","A","2009",244402.802,
"AUS","GFCF","TOT","MLN_USD","A","2010",245533.071,
"AUS","GFCF","TOT","MLN_USD","A","2011",272191.873,
"AUS","GFCF","TOT","MLN_USD","A","2012",277898.697,
"AUS","GFCF","TOT","MLN_USD","A","2013",296971.28,
"AUS","GFCF","TOT","MLN_USD","A","2014",293095.41,
"AUS","GFCF","TOT","MLN_USD","A","2015",285146.555,
"AUS","GFCF","TOT","MLN_USD","A","2016",291105.217,
"AUS","GFCF","TOT","MLN_USD","A","2017",304167.769,
"AUS","GFCF","TOT","MLN_USD","A","2018",308748.697,
"AUS","GFCF","TOT","MLN_USD","A","2019",302666.187,
"AUS","GFCF","TOT","MLN_USD","A","2020",320551.954,
"AUT","GFCF","TOT","AGRWTH","A","1971",13.790463,"E"
"AUT","GFCF","TOT","AGRWTH","A","1972",12.137526,"E"
"AUT","GFCF","TOT","AGRWTH","A","1973",0.349154,"E"
"AUT","GFCF","TOT","AGRWTH","A","1974",3.968685,"E"
"AUT","GFCF","TOT","AGRWTH","A","1975",-4.951893,"E"
"AUT","GFCF","TOT","AGRWTH","A","1976",3.818012,"E"
"AUT","GFCF","TOT","AGRWTH","A","1977",8.932134,"E"
"AUT","GFCF","TOT","AGRWTH","A","1978",-6.472554,"E"
"AUT","GFCF","TOT","AGRWTH","A","1979",5.825937,"E"
"AUT","GFCF","TOT","AGRWTH","A","1980",3.32289,"E"
"AUT","GFCF","TOT","AGRWTH","A","1981",-0.055887,"E"
